=== Google Apps Script Projects ===
[1] 주말 경제 뉴스 생성 | ID: 1kgp-qF7pwekx_VZ_1kVZ4XMbNZGYbL_FlXOJI6E8UeUeoiCRQoE7Gtes | Modified: 2026-06-03T12:53:49.577Z
[35] 2026-05-21_Macro_Professional_Report | ID: 1WZ3Lp24a4JS9hXiI6WKuqucgytzrJcX4Th6nPECgisk | Mime: application/vnd.google-apps.document | Modified: 2026-05-21T06:53:23.821Z
[36] 2026-05-20_Macro_Professional_Report | ID: 1KYpaXofHVDzVxoayTI2LYJgQqHjr8vaYGGzcuv1ca6w | Mime: application/vnd.google-apps.document | Modified: 2026-05-20T06:19:23.140Z
[37] 대구대학교-일반전형-경제학과.pdf | ID: 1mFwXTBnoeqwYfFzY0ocp6ObEJPL6_rKS | Mime: application/pdf | Modified: 2026-05-20T05:23:56.021Z
[38] fast_overlap_report.json | ID: 1kJT_i-QbcOb7CiZBs3jf_OilrsBDG2Aq | Mime: application/json | Modified: 2026-05-20T05:08:57.507Z
[39] 2026-05-19_Macro_Professional_Report | ID: 1XstBtakHePTXE-qh-AfEw7I0y2BajArxzAGWAK6U8EI | Mime: application/vnd.google-apps.document | Modified: 2026-05-20T01:49:56.570Z
[40] 1. 2025학년도 1학기 교수학습 계획(3학년 경제수학).pdf | ID: 1IbBHXh3DolO-cAtVEiQp2tAeEHs23OFE | Mime: application/pdf | Modified: 2026-05-20T01:23:15.054Z
[41] 1. 2025학년도 1학기 교수학습 계획(3학년 경제).pdf | ID: 1GB0qg5-1n8ZSGwfCzz3impEsKKLhYoki | Mime: application/pdf | Modified: 2026-05-20T01:23:12.360Z
[42] (진해고등학교-1993 (첨부) 재단법인 산해장학재단) [장학금 지원서] 자기소개서 및 장학금사용report.pdf | ID: 1TU-GPw0SJnyojsXp6E6pQBn3PdYZq90Q | Mime: application/pdf | Modified: 2026-05-20T01:05:34.491Z
[43] (진해고등학교-1993 (첨부) 재단법인 산해장학재단) [장학금 지원서] 자기소개서 및 장학금사용report.pdf | ID: 1gCWfAtdIZ3xRvhXkMbtZ0zsQNwCzmaFJ | Mime: application/pdf | Modified: 2026-05-19T02:42:08.545Z
[44] 2025-08호 붙임_[ 자기소개서 및 장학금사용report].pdf | ID: 1lhByqdwYdan2DwYYb11IXFS31rqYZ0J8 | Mime: application/pdf | Modified: 2026-05-19T02:40:48.284Z
[45] 2026-05-18_Macro_Professional_Report | ID: 1Juy0w5ps7YjoHY71MDwgZnQLp9xGAnfQBo4GhlhmtWs | Mime: application/vnd.google-apps.document | Modified: 2026-05-18T13:01:13.831Z
[46] 2024. 2학기 교수학습 및 평가계획 (3)학년 (경제).pdf | ID: 16BPnm0FC-fYvRYfRanWNhakLcATRfpxB | Mime: application/pdf | Modified: 2026-05-18T06:08:21.661Z
[47] cloud_daily_news_fixed.py | ID: 1g3TrPuqC2fnH-tbfMtoApQ0xq8fV1-Yb | Mime: text/x-python | Modified: 2026-05-18T05:15:39.268Z
[48] cloud_daily_news.cpython-312.pyc | ID: 1QUgpkQvpuHl7FpbKQfzM5Nv75_D7mb2e | Mime: application/x-python-code | Modified: 2026-05-18T05:13:11.487Z
[49] cloud_daily_news.py | ID: 1WmedyxAMDdAh4o364IgxfEt95n0Jeq-p | Mime: text/x-python | Modified: 2026-05-18T05:13:04.484Z
[50] 2026-05-15_Macro_Professional_Report | ID: 1NtvvAqsPqVRhkGdOJqezHkZtt38r6L1Tn1fr1BdAMYg | Mime: application/vnd.google-apps.document | Modified: 2026-05-15T06:05:12.109Z
[51] 2026-05-14_Macro_Professional_Report | ID: 1LYsaM4xH30kTEIdDpzum0y_iU_i6cVCbVAYbOH8pW58 | Mime: application/vnd.google-apps.document | Modified: 2026-05-14T06:53:50.240Z
[52] admission_news_gas.js | ID: 19YmklR6D_Eh_uxG22rFWgBgZms2u7fbY | Mime: text/javascript | Modified: 2026-05-13T00:44:28.705Z
[53] telegram_assistant.py | ID: 1jTtBOTTkLCE7nU19y8H8RwHj4FiIXsEG | Mime: text/x-python | Modified: 2026-05-13T00:44:28.672Z
[54] cloud_daily_news.py | ID: 1eaXOsOi4NA2nV5Kw8OVDx6d3-xputmBp | Mime: text/x-python | Modified: 2026-05-13T00:44:28.653Z
[55] admission_news.py | ID: 1zVUoPadaJlNBrXS0AaIT0ovoGwjKvYjl | Mime: text/x-python | Modified: 2026-05-13T00:44:28.648Z
[56] 글로벌 AI 패권 전쟁의 구조적 재편: 애플과 마이크로소프트의 수익화 전략 및 거시경제적 파급력 심층 분석 | ID: 1FHdeAoBivjffXcMF4e5ce713tVNWCjBmUbMj3Sb3ZR4 | Mime: application/vnd.google-apps.document | Modified: 2026-05-08T06:32:22.537Z
[57] cloud_daily_news.cpython-312.pyc | ID: 1QULDs6Oi7uN0sh_MuuEcP5oWN1wFPH99 | Mime: application/x-python-code | Modified: 2026-05-06T00:47:28.989Z
[58] admission_news.cpython-312.pyc | ID: 1Luuq1Y9tErnc7I8EGioSJozZ2Iw1sdys | Mime: application/x-python-code | Modified: 2026-04-28T01:07:18.308Z
[59] 2026-04-24_Macro_Briefing.html | ID: 1BUwSWss2c4SgtDz59NdST1F64zL56lXf | Mime: text/html | Modified: 2026-04-24T02:02:11.000Z
[60] 2026-04-24_Macro_Briefing.md | ID: 1-MZCNYsorHUGM1i5x_DLJmvS7hx15_6A | Mime: text/markdown | Modified: 2026-04-24T02:02:09.974Z
[61] 2026-04-23_Macro_Briefing.html | ID: 17a8HxOHGrsiEdP3seQbLQ7-QlPhLpquq | Mime: text/html | Modified: 2026-04-23T07:13:49.377Z
[62] 2026-04-23_Macro_Briefing.md | ID: 1WdcCy5yJ5xSzPMBZmTLLO5VpqFz6XhDp | Mime: text/markdown | Modified: 2026-04-23T07:13:48.771Z
[63] [심화 학습 리포트] 전후 문학의 정점, 이범선의 ‘오발탄’ 심층 분석 | ID: 1FTxKlVBc4XlbHo-FGQe0zPhAotS2LrxkCNW7ok1G2ks | Mime: application/vnd.google-apps.document | Modified: 2026-04-23T07:13:23.537Z
[64] daily_news.log | ID: 1LIY8PVXLPfDUqrro51wKtkOXdzuu9TXM | Mime: text/plain | Modified: 2026-04-23T06:15:33.894Z
[65] run_news_once.py | ID: 12rxibtTVoyVNmnkEQaky_WNogkSBqHDY | Mime: text/x-python | Modified: 2026-04-22T07:33:12.821Z
[66] 2026-04-22_Macro_Briefing.html | ID: 1fMvPNr6fh34eYo5iXh0GSzJiFwmey9XQ | Mime: text/html | Modified: 2026-04-22T07:23:33.298Z
[67] 2026-04-22_Macro_Briefing.md | ID: 1OGKe93xcEADmlLfEEqyNaTDFEU9lHCH_ | Mime: text/markdown | Modified: 2026-04-22T07:23:33.247Z
[68] restore_telegram_alerts.py | ID: 1u1vabQzRjriMU68eamgXYzNeyVagL8Y7 | Mime: text/x-python | Modified: 2026-04-22T07:11:08.034Z
[69] surgical_repair_daily_news.py | ID: 1G38AWqwIBCrC1-TGoTM0As-HMh7m31DU | Mime: text/x-python | Modified: 2026-04-22T07:04:58.949Z
[70] final_sanitize_daily_news.py | ID: 1LfvFNVLKH5f-i4B_V3rV62BC96jD7ZHH | Mime: text/x-python | Modified: 2026-04-22T07:04:27.070Z
[71] deep_clean_daily_news.py | ID: 1E30Ay5U9xfw1QtCBOMpU78gN-MuhPvcB | Mime: text/x-python | Modified: 2026-04-22T07:03:00.838Z
[72] repair_daily_news.py | ID: 1RTWDFfEP8Sm6Q-5saRwKWnR9_jTXUmAO | Mime: text/x-python | Modified: 2026-04-22T07:01:54.479Z
[73] admission_news.log | ID: 1orkv6h6jInkCiWHPBDSbm2GjSVu0CPPf | Mime: text/plain | Modified: 2026-04-22T02:00:01.265Z
[74] wait_telegram.py | ID: 1srttnd7PAvzIysC4bKoXltQ8MxT7H2sI | Mime: text/x-python | Modified: 2026-04-22T01:19:45.005Z
[75] patch_daily_news.py | ID: 1pRxqFGRBZU4dbIezL0FP2VCJ7xSBoFzi | Mime: text/x-python | Modified: 2026-04-22T01:19:44.827Z
